"How, if in any way, this course helped you prepare for school opening after COVID-19?",The independent online work activities were well-designed to help me meet the learning targets.,The Zoom meeting activities were well-designed to help me meet the learning targets.,I felt a sense of community with the other participants in this course even though we were meeting virtually.,This course helped me navigate remote and/or hybrid learning during COVID-19.
NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Agree,Agree,Agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
To remember to relax and that the students will still be exposed to high level texts and questions and learn no matter what.,Agree,Agree,Agree,Strongly agree
NA,Agree,Agree,Agree,Agree
Helping with access to online resources,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
Contact with fellow grade level teachers.,Agree,Agree,Agree,Strongly agree
Using several of the digital resources will help with our Hybrid model to start the school year.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"Through no fault of the moderator, our district has not given us clear guidelines on what school days will look like.",Neither agree nor disagree,Strongly agree,Disagree,Strongly agree
Not sure,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Ideas for student engagement.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree
Discussing with other teachers at different schools about procedures that have been shared with them,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It was nice to collaborate with other teachers in the district,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree
I feel very familiarized and comfortable with the content I will be teaching this year and how to do it best with online learning.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Learning how to implement IM lessons virtually.,Agree,Strongly agree,Strongly agree,Strongly agree
To know to implement more practice on skills when needed to teach my grade level skills.,Neither agree nor disagree,Agree,Agree,Strongly agree
"The importance of using grade level standards with my second grade students is so very important while applying ""blended"" learning from the missed areas of content.",Agree,Agree,Neither agree nor disagree,Agree
I am now comfortable utilizing a digital platform for math in a time when online platforms are so necessary!,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It help me begin to think about the items that I will teach and the things I will have to leave out or possible reteach.,Neither agree nor disagree,Agree,Agree,Agree
NA,Agree,Agree,Agree,Neither agree nor disagree
Shifted my thinking about how to approach a problem-based learning lesson and where to start in curriculum.,Agree,Agree,Neither agree nor disagree,Strongly agree
NA,Strongly agree,Neither agree nor disagree,Agree,Strongly agree
"Has started me thinking and planning.  It would be so much more helpful if I knew what scheduling etc. were going to look like.  I don't even know what type of attendance requirements there will be for our students.  But at the very least, this session has helped me to think more clearly about focusing learning activities on the aspects of Rigor that are important.",Strongly agree,Agree,Agree,Strongly agree
Opening a conversation among colleagues of what is changing in our delivery of the material,Agree,Agree,Agree,Agree
IM prioritizing lessons within the units.,Agree,Agree,Agree,Strongly agree
THE COMMUNITY HUB is going to be a great asset.,Strongly agree,Agree,Agree,Strongly agree
I have a better understanding of the tools that are available to me through IM and Teaching Lab.,Agree,Strongly agree,Neither agree nor disagree,Agree
NA,Agree,Agree,Agree,Strongly agree
"Time to talk with other teachers about the content increases perspectives, and enriches understanding with an unfamiliar curriculum.",Agree,Neither agree nor disagree,Agree,Agree
Knowing and understanding the district platform and how it will work with students.,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Agree,Agree,Neither agree nor disagree
Knowledge of how to access online materials.,Strongly agree,Strongly agree,Strongly agree,Agree
We spoke of starting the year face to face and having the students use some sort of an ALL Block document that was digital. That way if we go to virtual the students will already be used to using the document.,Agree,Agree,Agree,Strongly agree
A better understanding of ALL Block.,Agree,Strongly agree,Strongly agree,Strongly agree
"Besides learning more about the ALL Block, the various methods we used with Moodle, Google Docs, Google Survey, and Zoom, shows that learning can be done remotely and online.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
By providing on-line resources I can use for my own students.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I was given some ideas for the flexibility of the curriculum and some ideas of how to make it virtual.,Strongly agree,Strongly agree,Agree,Strongly agree
modeling ways to teach virtually,Strongly agree,Strongly agree,Strongly agree,Strongly agree
We were able to share ideas and resources on how to teach both in person and online.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"The discussion of how others will implement ALL block virtually was very helpful, as they were able to share what sites/apps they will be preparing.",Strongly agree,Agree,Agree,Strongly agree
Ideas on how to engage in activities virtually.,Agree,Agree,Agree,Agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It helped by demonstrating the different technology that can be used.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It helped me see a few ways we could do things virtually. I enjoyed the lessons taught and the time to discuss with others on ways to make things work as we head into an unknown school year.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I gave me a glimpse of how I could implement ALL Block virtually. I also picked up important information that will help my teaching of ALL Block become more organized and productive while keeping the students accountable.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Agree,Agree,Agree
Ways to teach online,Agree,Strongly agree,Strongly agree,Strongly agree
Digital Ideas,Agree,Strongly agree,Strongly agree,Agree
"Gave me more ideas of how to teach online, and what platforms to use, and how to do so.",Strongly agree,Strongly agree,Strongly agree,Agree
NA,Strongly agree,Agree,Strongly agree,Strongly agree
The course modeled how I might incorporate the curriculum in a virtual manner.,Strongly agree,Agree,Agree,Agree
Gave me a better understanding of what ALL Block would look like if our district went to virtual learning.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Neither agree nor disagree,Agree,Agree
NA,Agree,Strongly agree,Strongly agree,Agree
We discussed strategies that we might use. We saw how it might be used during the experiential portion.,Agree,Strongly agree,Strongly agree,Agree
better understanding of what ALL block in tells,Neither agree nor disagree,Agree,Agree,Agree
It made me feel a lot more comfortable being prepared for changes to come.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Agree,Agree,Agree
NA,Strongly agree,Strongly agree,Strongly agree,Agree
This course helped me dig into the tools of how I can move instruction online,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Gave ideas for teaching virtually if needed,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
NA,Agree,Agree,Agree,Agree
NA,Neither agree nor disagree,Agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Discussions about purposeful planning to meet students needs,Neither agree nor disagree,Agree,Agree,Strongly agree
This course helped me decide how to plan for all the different platforms I will face.,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
We discussed how to plan for hybrid and distance learning.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Adapting the curriculum for blended learning,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Planning time to work through guidebooks lessons to see how they'll work for our new schedules has been really helpful.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
We have a game plan for helping our district teachers prepare the curriculum for practical instruction.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Setting up a plan to work together with other teachers to teach lessons,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Taking a look at future PLC's and what that will look like,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Strength in numbers!!!,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Agree,Agree,Strongly agree
The time embedded to plan for the first few lessons has allowed me to collaborate with peers to plan for virtual and in person instruction.,Agree,Agree,Agree,Agree
NA,Neither agree nor disagree,Disagree,Strongly disagree,Disagree
NA,Agree,Agree,Agree,Agree
Accelerated learning will not stop when we go back. We will still need to address unfinished and untaught learning.,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Agree
The suggestions of the presentor on various online resources that would aid in helping with student collaboration when using EL curriculum,Strongly agree,Agree,Agree,Strongly agree
NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
I enjoyed being able to collaborate with my peers.,Agree,Disagree,Disagree,Agree
It helped by helping us navigate through the online materials.,Strongly agree,Agree,Strongly agree,Strongly agree
NA,Agree,Neither agree nor disagree,Agree,Agree
Make virtual fun,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I am more comforable with virutal aspects.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
This course did not prepare me for school reopening.,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
