date_for_the_session,professional_training_session,select_your_site_district_parish_or_network,select_the_best_description_for_your_role,select_the_grade_band_s_you_focused_on,learning_session_satisfaction,todays_topic_was_relevant_for_my_role,designed_to_help_me_learn,learning_to_try_out,likely_to_apply_46_weeks,select_the_name_of_your_first_facilitator,s_he_facilitated_the_content_clearly_12,s_he_effectively_built_a_community_of_learners_13,did_you_have_a_second_facilitator,select_the_name_of_your_second_facilitator,s_he_facilitated_the_content_clearly_16,s_he_effectively_built_a_community_of_learners_17,overall_what_went_well_in_this_professional_learning,which_activities_best_supported_your_learning,what_could_have_improved_your_experience,likely_to_recommend_colleague_friend,why_did_you_choose_this_rating,do_you_have_additional_comments
2019-07-23,Guidebooks CM-1,Lafayette Parish,School-based administrator or supervisor,NA,Strongly agree,Strongly agree,Strongly agree,Components of literacy instruction,Neither agree nor disagree,Mandi,Strongly agree,Strongly agree,NA,NA,NA,NA,Activities supported learning,I enjoyed the reader’s circle.,Nothing,10,Presenter connected with the group and facilitation led to learning.,None
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Using the different tools to teach literacy instruction.,Strongly agree,Mandi,Strongly agree,Strongly agree,NA,NA,NA,NA,Everything we did went well.,The Robert Frost poem,It was excellant,10,The material is well planned and effectively presented followed with engagement.,This is amazing! This is something I believe all teachers have been looking for. FINALLY. The right material for what the compass grades teacher on. Stress levels are down as I feel I will be prepared for the school year.
2019-07-23,Guidebooks CM-1,Lafayette Parish,School-based coach,NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I am excited about trying reading circles with students.,Neither agree nor disagree,Mandi,Agree,Agree,NA,NA,NA,NA,Collaboration,Paired activiies,Temperature was cld.,7,I felt like the presenter was knowledgeable,NA
2019-07-23,Guidebooks CM-1,Lafayette Parish,School-based coach,NA,Strongly agree,Strongly agree,Strongly agree,We were able to look at the lesson slides and identify the different fluency strategies and components of literacy.,Strongly agree,Mandi,Strongly agree,Strongly agree,NA,NA,NA,NA,I loved the gallery walk and seeing the different lessons and other teachers' responses and observations.,I appreciated that we were able to see where the lessons were and that we didn't spend time aimlessly navigating the different folders. That is always something we can do on our own and is a huge time killer.,It was hard for the group to stay focused on directions. Time was spent restating directions which shouldn't have been necessary.,10,"Even though it was only the second day, I felt a degree of comfort with the presenter and the group. It made me feel safe to share out my ideas and to respond to other's.",NA
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Agree,Agree,Agree,New ideas were relevant to the new curriculum. Very Informative.,Agree,Mandi,Strongly agree,Strongly agree,NA,NA,NA,NA,The engagement of learning,Gallery Walk,Seeing an actual lesson,9,I really need to see a lesson(s),NA
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Echo reading,Strongly agree,Mandi,Strongly agree,Strongly agree,NA,NA,NA,NA,We learned or debated the poem the Road Less Traveled and that was a very good way of seeing how the students would have to struggle through a text without the teacher giving them the answer.,Poem,More candy!!!! Lol,10,Because I think overall this is a great program.,NA
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Reader’s circles,Strongly agree,Mandi,Strongly agree,Strongly agree,NA,NA,NA,NA,We got to dive into the guidebook lessons.,Group work,Coffee,10,Continued engagement,N/a
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Readers circle,Neither agree nor disagree,Mandi,Strongly agree,Strongly agree,NA,NA,NA,NA,Group discussions,Group discussions,Examples being given at our grade level,9,Excellent facilitator,No
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,The conversation,Strongly agree,Mandi,Strongly agree,Strongly agree,NA,NA,NA,NA,Realizing the thought process students would go through,Cold reads,N/a,9,Great,NA
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Fluency strategies,Strongly agree,Mandi,Strongly agree,Strongly agree,NA,NA,NA,NA,True understanding on how the guidebooks are laid out,Poem,N/a,10,Great pd!,NA
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Reader's Circle,Strongly agree,Mandi,Strongly agree,Strongly agree,NA,NA,NA,NA,Pacing of the material went smooth and time spent where necessary.,The poem activity helped get the point about reader's circle across clearly.,Nothing!,10,I appreciated the professionalism and knowledge presented consistently throughout the day.,NA
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Agree,Strongly agree,Fluency Lessons,Strongly agree,Mandi,Strongly agree,Strongly agree,NA,NA,NA,NA,The,Pictionary,3rd Grade materials,10,Presenter is knowledgeable and was an actual teacher,NA
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Reader Circles,Strongly agree,Mandi,Strongly agree,Strongly agree,NA,NA,NA,NA,The morning overall was awesome,gallery walk,LONG AFTERNOON,10,overall good day,NA
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Reader’s Circles,Strongly agree,Meredith,Strongly agree,Strongly agree,NA,NA,NA,NA,Interactions,Text-Based instruction,Coffee,10,Was good,No
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Reader’s Circles,Strongly agree,Meredith,Strongly agree,Strongly agree,NA,NA,NA,NA,Interactions,Text-Based instruction,Coffee,10,Was good,No
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,I love identifying the skills and knowledge in the assessments and the corresponding text to guide where to increase opportunities for learning. This is where individuals can utilize the additional supports for diverse learning.,Strongly agree,Meredith,Strongly agree,Strongly agree,NA,NA,NA,NA,The shift in thinking from strategy based to text based thinking and instruction.,The reader circle,The talking was loud and distracting,10,Awesome pd definitely shifted my thinking,NA
2019-07-23,Guidebooks CM-1,Lafayette Parish,School-based administrator or supervisor,NA,Strongly agree,Strongly agree,Strongly agree,Guidebooks,Strongly agree,Meredith,Strongly agree,Strongly agree,NA,NA,NA,NA,Enjoyed it,Going through the lesson : Reading circles,na,10,10,NA
2019-07-23,Guidebooks CM-1,Lafayette Parish,School-based administrator or supervisor,NA,Strongly agree,Strongly agree,Strongly agree,Reading Circles,Strongly agree,Meredith,Strongly agree,Strongly agree,NA,NA,NA,NA,Discussion and lesson,Turn and Talk,The in-depth discussion of the lesson.,10,It was reflective from the session.,None
2019-07-23,Guidebooks CM-1,Lafayette Parish,School-based coach,NA,Strongly agree,Strongly agree,Strongly agree,The idea of taking the text and moving from literal to concrete to abstract when asking questions to help students develop a deeper understanding of the text. Reader's circles are AMAZING!,Strongly agree,Meredith,Strongly agree,Strongly agree,NA,NA,NA,NA,Reader's Circle,The walk-through of the reader's circle with the poem activity.,Nothing! Meredith is great! She allows for her participants to have meaningful conversations about what is rolling around in our head. Thank you for that!,10,It was meaningful and engaging.,NA
2019-07-23,Guidebooks CM-1,Lafayette Parish,School-based administrator or supervisor,NA,Agree,Strongly agree,Strongly agree,Circle Reading blew my mind.,Strongly agree,Meredith,Strongly agree,Strongly agree,NA,NA,NA,NA,Meredith met our needs based on the survey we took yesterday. We have a better idea of what Guidebooks provides in a unit.,"Collaboration, discussion, group work. Visuals.",Less talking during reading or individual work. A little more time to read for the slow readers who are easily distracted.,10,Because everything we learn is relevant and allows us to learn the curriculum.,Nope
2019-07-23,Guidebooks CM-1,Lafayette Parish,School-based administrator or supervisor,NA,Agree,Agree,Agree,fluency strategies with my own child,Agree,Meredith,Strongly agree,Strongly agree,NA,NA,NA,NA,fluency practices to help struggling readers was useful to me,discussion with other teachers and leaders,n/a,9,N/A,no
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Agree,Strongly agree,Strongly agree,Reading circles! Echo fluency,Strongly agree,Meredith,Strongly agree,Strongly agree,NA,NA,NA,NA,Better understanding of implementing fluency,Reading circles,Seeing an example of a lesson being taught,9,This is meaningful,NA
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Agree,Strongly agree,Agree,Reading circles,Strongly agree,Meredith,Strongly agree,Strongly agree,NA,NA,NA,NA,Discussion,"Role playing, discussing, pair sharing",Actually going through a lesson or modeling it.,9,I would like to see this implemented,No
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,"When testing, begin with the end in mind.",Strongly agree,Meredith,Strongly agree,Strongly agree,NA,NA,NA,NA,Giving students opportunities to practice fluency throughout lessons.,Reading a selection and practicing fluency giving feedback on selection read,nothing,10,Meredith was very knowledgeable about the information presented.,NA
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Reading circles,Strongly agree,Meredith,Strongly agree,Strongly agree,NA,NA,NA,NA,Learning about reading circles,Jigsaw,More discussion,10,Provided information that I can apply in my classroom,N/a
2019-07-23,Guidebooks CM-1,Lafayette Parish,School-based administrator or supervisor,NA,Strongly agree,Strongly agree,Strongly agree,As an administrator I am really interested in looking for the fluency in a classroom.,Strongly agree,Meredith,Strongly agree,Strongly agree,NA,NA,NA,NA,It was really great to do the jigsaw approach with the content. I also enjoyed the Reader's Circle.,All the materials and doing the Robert Frost poem.,If the members would come together quicker. Maybe a signal could be used that would get them to stop conversations.,10,I have learned a lot in my two days and am actually sorry that I do not teach in a classroom anymore!,Great job preparing for training Meredith.
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Reader’s circles,Strongly agree,Meredith,Strongly agree,Strongly agree,NA,NA,NA,NA,Covering content,reader’s Circles,It was great,10,It was ber imformative,No
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,I really enjoyed learning about reading circles.,Strongly agree,Meredith,Strongly agree,Strongly agree,NA,NA,NA,NA,I liked having multiple activities.,The sample lesson for Reader's Circles.,I would really like the person behind me to silence her phone. It binged ALL day.,10,Meredith is very knowledgeable and excited about teaching us.,NA
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Reading circles,Strongly agree,Meredith,Strongly agree,Strongly agree,NA,NA,NA,NA,Discussion,Going through the cold read assessment questions and identifying what skills/strategies were being used,Modeling a lesson,9,Because I would like to see a lesson modeled,No
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Reading Circles,Strongly agree,Meredith,Strongly agree,Strongly agree,NA,NA,NA,NA,The discussion,Reading Circles,nothing,10,very professional,no
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Reader’s Circles,Strongly agree,Meredith,Strongly agree,Strongly agree,NA,NA,NA,NA,Interactions,Text-Based instruction,Coffee,10,Was good,No
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Agree,Strongly agree,Strongly agree,TEXT BASED INSTRUCTION,Strongly agree,Meredith,Agree,Strongly agree,NA,NA,NA,NA,THE EXPERIENCES WHERE WE ACTUALLY INTERACTED WITH ELEMENTS OF THE GUIDEBOOK,ROLE PLAYING LENDS ITSELF TO UNDERSTANDING,ENVIRONMENT,8,IM JUST EXPERIENCING THIS CORP AND ITS GETTING BETTER,NA
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Readers Circle,Strongly agree,Meredith,Strongly agree,Strongly agree,NA,NA,NA,NA,Discussion,Discussion,Nothing. It was great.,10,She was great.,No
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Reader’s Circle,Strongly agree,Meredith,Strongly agree,Strongly agree,NA,NA,NA,NA,The lesson with the poem from Robert Frost.,Showing the steps to completing reading circles.,Less side conversation,10,This is the most useful inservice I have attended.,NA
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Readers circle,Agree,Meredith,Strongly agree,Strongly agree,NA,NA,NA,NA,Discussion,Analyzing poem to show readers circles,Copies of lessons for when WiFi doesn’t work on non LPSS devices,10,"Applicable, clear info",NA
2019-06-25,Guidebooks CM-1,Louisiana State Content Leader Training,Classroom teacher,NA,Agree,NA,NA,Ways to build fluency and the key components of literacy instruction.,NA,Rebecca,NA,NA,NA,NA,NA,NA,Key components of literacy instruction.,NA,Collaborating with other English II teachers and applying what I learned to the actual guidebooks I’ll be teaching.,9,NA,None
2019-06-25,Guidebooks CM-1,Louisiana State Content Leader Training,Other school-based administrator,NA,Agree,NA,NA,The components of literacy- to see all of the working parts as gears helped to clarify the nature of the lessons.,NA,Rebecca,NA,NA,NA,NA,NA,NA,The discussion about the volume of reading and close reading was effective.,NA,More breaks could have been incorporated during the day with the amount of content.,8,NA,No additional comments at this time.
2019-06-25,Guidebooks CM-1,Louisiana State Content Leader Training,Classroom teacher,NA,Agree,NA,NA,I loved unpacking the cold read.,NA,Rebecca,NA,NA,NA,NA,NA,NA,Understanding how to start with the cold read for the unit.,NA,I prefer not to answer.,8,NA,Na
2019-06-25,Guidebooks CM-1,Louisiana State Content Leader Training,Classroom teacher,NA,Strongly agree,NA,NA,Fluency,NA,Rebecca,NA,NA,NA,NA,NA,NA,How fluency is embedded in the guide books,NA,I would have enjoyed doing a grade level 3-5 module from the guidebooks.,10,NA,No comment
